Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,freeze_qty,Board Lot Qty
MCX,mcx_fo,GOLD,449535,OPTFUT,CE,88600,GOLD,GOLD27JAN26C88600,GOLD 27th JAN26 88600 CE,2026-01-27,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449536,OPTFUT,PE,88600,GOLD,GOLD27JAN26P88600,GOLD 27th JAN26 88600 PE,2026-01-27,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449537,OPTFUT,CE,88600,GOLD,GOLD31DEC25C88600,GOLD 31st DEC 88600 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449538,OPTFUT,PE,88600,GOLD,GOLD31DEC25P88600,GOLD 31st DEC 88600 PE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449539,OPTFUT,CE,88500,GOLD,GOLD31DEC25C88500,GOLD 31st DEC 88500 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449540,OPTFUT,CE,88400,GOLD,GOLD31DEC25C88400,GOLD 31st DEC 88400 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449541,OPTFUT,CE,88300,GOLD,GOLD31DEC25C88300,GOLD 31st DEC 88300 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449542,OPTFUT,CE,88200,GOLD,GOLD31DEC25C88200,GOLD 31st DEC 88200 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449543,OPTFUT,CE,88100,GOLD,GOLD31DEC25C88100,GOLD 31st DEC 88100 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449544,OPTFUT,CE,88000,GOLD,GOLD31DEC25C88000,GOLD 31st DEC 88000 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449545,OPTFUT,CE,87900,GOLD,GOLD31DEC25C87900,GOLD 31st DEC 87900 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449546,OPTFUT,CE,87800,GOLD,GOLD31DEC25C87800,GOLD 31st DEC 87800 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449547,OPTFUT,CE,87700,GOLD,GOLD31DEC25C87700,GOLD 31st DEC 87700 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449548,OPTFUT,CE,87600,GOLD,GOLD31DEC25C87600,GOLD 31st DEC 87600 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449549,OPTFUT,CE,87500,GOLD,GOLD31DEC25C87500,GOLD 31st DEC 87500 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449550,OPTFUT,CE,87400,GOLD,GOLD31DEC25C87400,GOLD 31st DEC 87400 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449551,OPTFUT,CE,87300,GOLD,GOLD31DEC25C87300,GOLD 31st DEC 87300 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449552,OPTFUT,CE,87200,GOLD,GOLD31DEC25C87200,GOLD 31st DEC 87200 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449553,OPTFUT,CE,87100,GOLD,GOLD31DEC25C87100,GOLD 31st DEC 87100 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449554,OPTFUT,CE,87000,GOLD,GOLD31DEC25C87000,GOLD 31st DEC 87000 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449555,OPTFUT,CE,86900,GOLD,GOLD31DEC25C86900,GOLD 31st DEC 86900 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449556,OPTFUT,CE,86800,GOLD,GOLD31DEC25C86800,GOLD 31st DEC 86800 CE,2025-12-31,1,0.5,0.0,1
MCX,mcx_fo,GOLD,449557,OPTFUT,CE,86700,GOLD,GOLD31DEC25C86700,GOLD 31st DEC 86700 CE,2025-12-31,1,0.5,0.0,1
